Time,N-NH4 in,N-NO2 in,N-NH4 out,N-NO3 out,N-NO2 out,N Load,N Removal,N Removal per
1,60,50,30,0,0,0.08,0.06,72.5
3,50,50,28,0,0,0.08,0.06,74.5
6,85,100,10,0,0,0.145,0.14,92
10,130,135,5,4,0,0.195,0.18,94
13,125,140,0.5,0.5,0,0.2,0.195,98.5
15,180,175,1,1,0,0.27,0.265,97.5
17,215,180,2,5,0,0.3,0.29,97
20,195,220,2,6,0,0.32,0.305,97
22,245,196,4,10,0,0.34,0.325,95
24,210,205,2,10,0,0.325,0.31,97
27,175,195,15,13,0,0.295,0.26,90
34,180,215,10,20,0,0.3,0.275,92.5
41,188,200,25,25,0,0.31,0.265,88
45,175,205,23,22.8,0,0.29,0.255,88.5
50,210,230,0.1,26,0,0.345,0.32,93.5
55,240,220,30,30,0,0.37,0.325,87.5
59,245,225,2,28,0,0.36,0.34,93
64,215,260,1,30,1,0.375,0.346,92.5
66,195,250,10,28,10,0.34,0.29,87
69,235,246,1.5,20,2,0.36,0.342,94
71,205,225,2,27,1,0.35,0.32,92
78,245,225,5,30,0,0.375,0.34,91
85,250,205,20,50,0,0.38,0.32,84.5
